"","genes","logFC","logCPM","PValue","FDR"
"Sit1","Sit1",4.15106699836621,4.1862883835764,6.34362052749499e-08,0.000343471241115379
"Gimap7","Gimap7",3.88900502301405,4.89427468212077,1.16611649796874e-07,0.000343471241115379
"Prkcq","Prkcq",3.88441744284771,5.23377380283632,1.48167166365038e-07,0.000343471241115379
"Ptprcap","Ptprcap",3.66864599340859,6.20376066592949,1.64406413572263e-07,0.000343471241115379
"Klrd1","Klrd1",3.99957741947244,5.72737162800941,1.88858729888719e-07,0.000343471241115379
"Cd226","Cd226",3.7397623008216,4.12044610580412,2.38059701565983e-07,0.000343471241115379
"Cd247","Cd247",3.79893166869384,5.88484126371395,2.91115728048197e-07,0.000343471241115379
"Cd3e","Cd3e",3.91674743508181,6.3677224672461,3.16378398584975e-07,0.000343471241115379
"Ctsw","Ctsw",4.02566764141878,7.87432647882075,3.29442294513728e-07,0.000343471241115379
"Cd3g","Cd3g",4.0138586163236,7.56676440282931,3.60073519732137e-07,0.000343471241115379
"Septin1","Septin1",3.70598918589056,6.61394469547738,3.87265867605887e-07,0.000343471241115379
"Cd3d","Cd3d",3.82916521382568,6.07685026650919,4.5812771022594e-07,0.000343471241115379
"Themis","Themis",3.6894334212337,5.79586808638009,4.95220254931973e-07,0.000343471241115379
"Crmp1","Crmp1",3.54716992471694,4.64219583243327,5.08318513217989e-07,0.000343471241115379
"Cd96","Cd96",3.89869756268724,6.21421557102095,5.2174559650239e-07,0.000343471241115379
"Zap70","Zap70",3.66359467026527,6.36621188998569,5.36400360419172e-07,0.000343471241115379
"Tbc1d10c","Tbc1d10c",3.55180052650254,5.99357530843504,5.4931450810894e-07,0.000343471241115379
"Cd8b1","Cd8b1",3.97568353340097,8.55549307393576,5.74633547734625e-07,0.000343471241115379
"Ms4a4b","Ms4a4b",3.66881019784347,6.92054306175307,6.37478640758491e-07,0.000360980668206347
"Ltb","Ltb",3.75810837542469,6.039671849919,7.76643673336135e-07,0.00039863839424616
"Thy1","Thy1",3.95279441331065,9.12335652577325,8.43659764781583e-07,0.00039863839424616
"Tbx21","Tbx21",3.60538639489841,5.76663672594252,8.51985372932939e-07,0.00039863839424616
"Klrc1","Klrc1",3.73224390289412,6.28208751873202,8.70305388162837e-07,0.00039863839424616
"Gimap1","Gimap1",3.57734472672555,5.01920521543614,8.92569287998754e-07,0.00039863839424616
"Camk4","Camk4",3.56275569677678,5.07015872985674,9.26290534078818e-07,0.00039863839424616
"Skap1","Skap1",3.43237212354165,5.55178479278161,1.34855238194928e-06,0.000545127783786392
"Rab37","Rab37",3.51997059487056,4.06285769059441,1.38041650549054e-06,0.000545127783786392
"Cxcr3","Cxcr3",3.35339273240321,4.62782912858,1.41867998382926e-06,0.000545127783786392
"Pglyrp2","Pglyrp2",3.85147225469789,3.77039323164571,1.49675596203834e-06,0.000555296461916224
"Dkkl1","Dkkl1",3.55562450952314,3.48377192602686,1.61549771661372e-06,0.000562644559929811
"Lat","Lat",3.72994481231532,6.80452901638861,1.64550708979509e-06,0.000562644559929811
"Il2rb","Il2rb",3.85667535957012,8.12882844486625,1.67344789643591e-06,0.000562644559929811
