"","X67_S53","X68_S54"
"Zc3h14",118.323559736649,152.755223468462
"Troap",10.6896673905384,12.7895261074805
"Clca2",0,0
"1810013L24Rik",19.9048978996232,20.1345149965155
"Srsf7",275.120706848727,254.55779674166
"Fignl2",0,0
"Sema6a",0,0
"Anapc15",43.4958880028803,41.9640274289621
"Misp3",5.62129061054174,6.31771771574338
"Nmb",13.2699319330821,17.4636099459573
"Tcerg1",92.0140766332119,96.2553089374236
"Zfp712",0.552913830545089,0.513635586645803
"Fam129c",1.61266533908984,1.33545252527909
"Atp5g3",526.235738221288,457.18703567343
"Pifo",0,0
"Olfr1045",0,0
"Olfr1049",0,0
"Vsx1",0,0
"Fyco1",26.2634069508917,26.4522327122589
"Tlr3",0,0
"Olfr1444",0.0460761525454241,0
"Olfr150",0,0
"Ifi44",0.0460761525454241,0.0513635586645803
"Trafd1",64.5987658686845,72.1144363650708
"Erfl",0,0
"Krt80",0,0
"Armc8",24.881122374529,28.8149564108296
"Ppil4",36.6766174261576,44.9431138315078
"C530005A16Rik",0.184304610181696,0.154090675993741
"Katnbl1",12.717018102537,16.3849752140011
"Gm21693",0,0
"Spag9",71.1876556826802,67.3376254092648
"Gm5860",0,0
"Taz",27.0927776967093,29.4313191148045
"Gfpt1",32.9444490699782,38.676759674429
"Abcc5",5.43698600036004,10.529529526239
"Kcnmb4",0,0
"Gm4013",2.16557916963493,2.10590590524779
"Hpcal1",40.639166545064,46.8949290607619
"Tbc1d31",13.4542365432638,15.5117947167033
"Tmem176b",7.37218440726785,13.2517981354617
"Mir5110",0,0
"Mir5108",0,0
"Cyp3a13",0.460761525454241,0.256817793322902
"Akap7",3.13317837308884,2.92772284388108
"Ablim1",345.018230260135,530.482833887786
"Lcn5",0,0
"Ulk1",12.4866373398099,20.2372421138447
"Cyp4b1",0,0
"Golga3",30.0416514596165,42.2722087809496
"Mir1193",0,0
"Wdyhv1",15.3894349501716,21.3158768458008
"Traf1",362.711472837578,419.897092082944
"Atoh1",0,0
"Rxra",3.54786374599765,3.49272198919146
"Dapk3",123.161555753919,104.165296971769
"Mir7002",0,0
"Mir6998",0.0460761525454241,0
"Ap3m2",11.196505068538,9.96453038092859
"Sirt2",63.999775885594,68.7758050518731
"Inhbc",0,0
"Slit3",0,0
"Cts3",0,0
"Olfr74",0,0
"Dcakd",11.9797996618103,10.7349837608973
"Vps35l",103.348810159386,117.108913755243
"Cyhr1",87.360385226124,91.6325886576113
"Taf10",228.030878947304,202.629238931769
"Hagh",30.1798799172528,31.1776801094003
"Ogfod3",8.75446898363057,10.889074436891
"Syn1",3.6400160510885,4.00635757583727
"Glyatl3",0,0
"Slx",0,0
"Ccl27a",2.25773147472578,0.975907614627027
"Sqor",4.56153910199698,9.34816767695362
"Fundc2",45.9840002403332,47.4085646474077
"Rab5if",211.305235573315,208.381957502202
"H1f5",13.6385411534455,13.1490710181326
"Ankrd2",0,0
"Pop4",54.1855553934187,57.4758221456654
"Carnmt1",16.9560241367161,21.7781488737821
"Iqcm",0,0
"Clcc1",53.7708700205099,58.9140017882737
"Magea2",0,0
"Ilf3",65.7506696823201,75.3503405609394
