"","X67_S53","X68_S54"
"Zc3h14",28.280009497287,36.5093746339536
"Troap",4.71741720676892,5.644098017423
"Clca2",0,0
"1810013L24Rik",4.88583649966205,4.94219808456443
"Srsf7",100.116705549027,92.6338416090466
"Fignl2",0,0
"Sema6a",0,0
"Anapc15",41.7827934705863,40.3112655417504
"Misp3",6.19767432253775,6.9655101606873
"Nmb",19.1762022154366,25.2364305577418
"Tcerg1",20.2051112501563,21.1364314750601
"Zfp712",0.139273005175085,0.129379240968716
"Fam129c",0.649744294556745,0.538055006155958
"Atp5g3",726.844942294597,631.47380617877
"Pifo",0,0
"Olfr1045",0,0
"Olfr1049",0,0
"Vsx1",0,0
"Fyco1",3.25525619123596,3.2786604749949
"Tlr3",0,0
"Olfr1444",0.0479959922348167,0
"Olfr150",0,0
"Ifi44",0.0161161778752795,0.0179655679134594
"Trafd1",24.9705318394606,27.8757001797722
"Erfl",0,0
"Krt80",0,0
"Armc8",3.62170631361412,4.19431679924739
"Ppil4",12.664577840524,15.5190310191671
"C530005A16Rik",0.0756587069711397,0.0632556141189413
"Katnbl1",4.41103645596151,5.6833073929938
"Gm21693",0,0
"Spag9",9.05234685690236,8.56277027076104
"Gm5860",0,0
"Taz",14.7805661193177,16.0563661291896
"Gfpt1",5.27279914692353,6.19026243188684
"Abcc5",0.877499354480316,1.69940760591333
"Kcnmb4",0,0
"Gm4013",5.20571915777628,5.06227381069181
"Hpcal1",24.5702337031826,28.3524359496746
"Tbc1d31",3.19881991042887,3.68801586226896
"Tmem176b",3.59794260969636,6.46744662540836
"Mir5110",0,0
"Mir5108",0,0
"Cyp3a13",0.155926066143567,0.0869095747285623
"Akap7",0.950311911764888,0.887996009669724
"Ablim1",40.6621367425027,62.5200747068693
"Lcn5",0,0
"Ulk1",2.39482879551399,3.88132760142782
"Cyp4b1",0,0
"Golga3",3.71113668432569,5.22201467337241
"Mir1193",0,0
"Wdyhv1",9.68498108884307,13.4146487387041
"Traf1",94.6286127935242,109.547897751877
"Atoh1",0,0
"Rxra",0.649078621660749,0.6389904846673
"Dapk3",67.5227827598237,57.1081671994347
"Mir7002",0,0
"Mir6998",0.719939883522251,0
"Ap3m2",3.22945055337123,2.87410740724793
"Sirt2",34.3530734758959,36.9166962167864
"Inhbc",0,0
"Slit3",0,0
"Cts3",0,0
"Olfr74",0,0
"Dcakd",6.9893813662837,6.26311771347567
"Vps35l",28.8925943973682,32.739422352598
"Cyhr1",13.4050000346976,14.060547592084
"Taf10",301.229694778472,267.67402765095
"Hagh",23.6149295127173,24.3956808367764
"Ogfod3",7.04301607693529,8.76031732654146
"Syn1",1.13290259915609,1.2469211253773
"Glyatl3",0,0
"Slx",0,0
"Ccl27a",0.696615697231033,0.301113117749777
"Sqor",2.17216147714142,4.45150841759696
"Fundc2",14.1011960258612,14.5380449700729
"Rab5if",201.243081498395,198.459007144955
"H1f5",17.1770039715939,16.5605428439957
"Ankrd2",0,0
"Pop4",44.6339006535574,47.3441698069731
"Carnmt1",8.09743273004587,10.4002621173744
"Iqcm",0,0
"Clcc1",14.936352783475,16.3650004967427
"Magea2",0,0
"Ilf3",12.8922881730039,14.7745765805763
"Tpd52l2",16.187213503773,15.4709514049941
"Arhgap25",9.18712870363839,11.6631303746924
"Banf1",199.320329042653,168.322927567467
"Tbc1d23",1.71566107068627,2.01254148089497
"4930473A02Rik",0,0.0364539096270975
"Pard3",0.00538902368952328,0
"Rorc",0,0
"Krtap4-6",0,0
"1700017L05Rik",0,0
"1700123J17Rik",0,0
"Evi5l",3.45445982502817,4.3066511520646
"Pex5l",0,0
"Mtmr1",14.6906651907919,17.6019965609404
"Mtor",3.32906233050708,3.80670004297122
"Zfp758",1.10000229681409,1.72708670694621
"Plekhh2",0,0
"Adgrl3",0,0
"Golga5",19.8308458060767,20.9560487453009
"Plekhb1",0.0193515970371374,0.0647167895815796
"Nufip1",11.397296918005,11.4385378505671
"Gm9866",0,0
"Smap1",19.6819868978974,22.396605981333
"Tepp",0,0.174113758185018
"Acox2",0,0
"Hars2",7.43981912660058,7.02125710185548
"Gpa33",0,0
"Sdhb",363.655713694932,354.165779855864
"Gmpr",0.0290884801423132,0.0648529781118439
"Krt90",0,0
"Me1",6.90433820641524,6.72019721974381
"Klk11",0.0635971739757406,0.0708951810415188
"Magt1",27.5873936388102,31.4494450928632
"Mcam",0.876275376901218,0.83474663113253
"Pbld1",0,0
"Tab2",9.40177363679908,10.7821883269575
"Mettl27",0.794690454388135,1.06306088991888
"Trmt1",11.0089093046031,8.60339607631721
"Vps37c",6.7483643181455,7.57675479950537
"Sec23a",5.46228974917759,8.10213875721715
"Rara",27.7263964729436,27.4870207926148
"Med1",4.20143596803709,5.13703268235821
"Ap5b1",6.04181249163422,7.79771403023705
"Bag5",15.6162289465329,14.9477182700515
"Pdcd2l",28.4712519939948,25.0131878335935
"Ctcf",24.6711703532522,27.6635017761891
"Mnd1",3.4794348604096,2.70334519287265
"Tktl1",0,0.10393273707928
"Lix1",0,0
"Ctnnbl1",40.8122347152621,36.750052592673
"Snph",0.0485012132057095,0.054066903857453
"Raet1e",0,0
"Ppm1m",17.0949203646791,18.7092382768568
"Prkar1a",316.980766537852,329.471028102274
"Slc27a3",0.0200505450589313,0.156459926306381
"Impdh2",51.6603232578964,47.4240819754351
"Tiprl",23.1205456971458,24.1946263913806
"Uaca",0,0.0111781411674821
"Smim31",0,0
"Calca",0.609070093131845,0.169740775494317
"Mir6402",0,0
"Phf3",3.87573509044964,4.49032036467235
"F930015N05Rik",0,0
"9330020H09Rik",0.712379254640454,0.629308478387507
"Gm13884",0,0.0483649328291717
"Gm7443",0,0.167672117512232
"Ube2q2",12.7910791575487,15.4878460635836
"Rfx3",0.562083116868969,0.414090427337234
"Bri3",2.46116051249638,2.29381916978424
"Fbxo27",0.977109738239436,2.15426801185092
"Eps15l1",6.93094667526506,7.22572096467825
"Tmprss15",0,0
"Max",6.50671316251841,7.38446738776187
"Ttc8",1.23774759870723,1.26851076424657
"Vti1b",107.834742647292,105.814544352715
"Cpsf3",35.514657374064,35.9018011748181
"Nlgn1",0,0
"Casq2",0,0
"Pidd1",3.73113720553346,3.70555708858133
"Asb4",0.198947118071779,0
"Orc4",6.76437133113672,8.49436028205342
"Mapkbp1",0.278245637226141,0.716357324293931
"Mospd1",6.12404559148041,7.3252670162988
"Banf2",0,0
"Dclk1",0,0
"Gpcpd1",4.4768512425885,7.60229258121794
"Sinhcaf",3.25727090746649,4.30086078042471
"Acbd5",5.26481805503414,5.74865440545798
"Mir7073",0,0.802555604134068
"Myo7a",0.266546241388201,0.317392487146368
"4930548K13Rik",0,0
"Luc7l2",3.85412823140952,3.73864414750252
"Dnah8",0.86572487125051,0.96506994953679
"Evc",0,0.452647316617359
"Shroom2",0,0
"1500009C09Rik",0,0
"Kmt2e",24.4247599836059,25.1807234466041
"Setd5",11.0695576888012,9.76182706371978
"Pcyox1",5.72327879438616,7.66084305414389
"Arpp21",0,0
"Iyd",0,0
"Mir7077",0,0
"Smim4",10.6094166746659,9.17341785743796
"Smc6",14.2594699652589,17.9866716111035
"Nsmf",9.59462584477697,12.1461970982931
"Hmbs",55.5693609810777,51.7728300483619
"Slc35b1",103.984959423705,77.5555720233399
"Mir7081",0,0
"Synj2",2.10351629326073,1.86912513335445
"Suds3",53.5335645180939,49.1368147918384
"Ptk2b",60.2438931886721,61.4151357026587
"Gfm2",6.00133503950476,8.35772031265424
"Rlim",6.1001357872638,6.09597073935812
"Ddt",110.991323126662,125.583479230805
"Epha3",0,0
"Gatad2a",62.8744017783551,60.2935174679401
"Shc1",19.1353157083339,25.0800247398018
"Anks1b",0,0
"Cdk6",17.2075754559069,16.5565229022957
"Cdk5r2",0,0
"Cdk5r1",0.121777433445378,0.0617053804235708
"Kdm1a",36.6728561075824,45.6731352556764
"Olfr192",0,0
"Scaf4",6.85293484274786,9.5664772260025
"4930557J02Rik",0,0
"6030466F02Rik",0,0
"Plcxd2",0.816396324234037,1.05709382013788
"Morc2a",2.95795476689739,3.56524611482252
"Atp6v1c2",0.259665230374963,0.0321625289070635
"C5ar1",0,0.159886563936437
"Map1a",0.0348124053818684,0.0215595864105861
"Gja5",44.5402807939099,113.936648685519
"Runx2",12.8091057695836,13.9187197784074
"Gja3",0,0
"Ackr3",0,0
"Socs1",42.7727091963869,44.4204637293383
"Sort1",0.265951818444006,0.252000143520308
"Rangrf",9.31223293549623,7.46123273232851
"Phyhd1",0.0256977984079331,0.171880285547954
"Slc4a9",0,0
"Specc1",1.64254523167641,1.81683921584367
"Gtf2a2",15.2659856358047,17.2116377713764
"Deaf1",5.3443616380898,5.26227457961306
"Mtarc1",0,0
"Set",107.753711144603,94.4784710166934
"Glra3",0,0
"Dnhd1",0.097933543291611,0.140866804702312
"Tmem247",0,0
"Pgpep1l",0,0.161351493187163
"Notch3",0,0.00637739740061837
"Gtsf1l",0,0
"Chml",0.0452022425233068,0.428309596450883
"Rnf212",0,0
"Tceal8",0.54712988603557,0.849524507174993
"Olfr935",0,0
"Gm5087",0,0
"Slco6b1",0,0
"Ranbp3",36.6551957705447,31.396930792488
"Parp6",2.51262733114324,3.69045465718245
"Gng10",92.2345839346792,77.4580808789966
"Mrps18b",34.0775796062259,31.2548846789785
"D16Ertd472e",19.9189601020234,18.1023191332474
"2310039H08Rik",34.6316230645425,23.8544858481039
"Rps10",292.962973315133,242.690634573051
"Arih1",11.6711932632543,14.0800804171437
"Dancr",0.865279860007964,0.482286935817656
"9530026P05Rik",0,0
"Itgal",86.9759028814388,98.4115953667204
"Mir6408",0,0
"Sirt6",16.2799526800608,11.5531903275532
"Rgs12",1.16898582480797,1.33983912185612
"Gm10681",0,0
"Hfe",0.154791105975669,0.0431384871203082
"Tdrd7",1.20916474002627,1.63305788335532
"Mir1298",0,0
"Ak2",51.637305428265,55.3938828245444
"Znhit1",27.6456915272544,23.4202495104915
"Prx",0.262791744555651,0.312477923434709
"4930509K18Rik",0,0
"Zxdb",0.53262491827362,0.365381886285473
"Alas2",0,0
"Fiz1",11.1570438846346,13.6946835208904
"Doxl1",0,0
"Serpinh1",0.169674866165637,0
"Vmn2r65",0,0
"Myh3",0,0
"Grm5",0,0
"Apol7e",12.3518020070131,15.6143373219223
"Vill",0.537423391610435,0.334788203988688
"1700123O12Rik",0,0
"Ins2",0,0
"Wnk1",9.74893702214001,10.9614232397362
