"","X67_S53","X68_S54"
"Zc3h14",120.889341195578,149.513113649236
"Troap",10.9214669615942,12.518078446086
"Clca2",0,0
"1810013L24Rik",20.3365246871065,19.7071757062881
"Srsf7",281.086548395169,249.155007143785
"Fignl2",0,0
"Sema6a",0,0
"Anapc15",44.4390724644179,41.0733738572381
"Misp3",5.74318521256249,6.18362911192202
"Nmb",13.5576831247377,17.0929585207601
"Tcerg1",94.0093513892401,94.2123654938363
"Zfp712",0.564903463530736,0.502734074140002
"Fam129c",1.64763510196465,1.307108592764
"Atp5g3",537.646871415378,447.483599392015
"Pifo",0,0
"Olfr1045",0,0
"Olfr1049",0,0
"Vsx1",0,0
"Fyco1",26.83291451771,25.8908048182101
"Tlr3",0,0
"Olfr1444",0.0470752886275614,0
"Olfr150",0,0
"Ifi44",0.0470752886275614,0.0502734074140002
"Trafd1",65.999554655841,70.5838640092562
"Erfl",0,0
"Krt80",0,0
"Armc8",25.4206558588831,28.2033815592541
"Ppil4",37.4719297475388,43.9892314872501
"C530005A16Rik",0.188301154510245,0.150820222242001
"Katnbl1",12.9927796612069,16.0372169650661
"Gm21693",0,0
"Spag9",72.7313209295823,65.9084371197542
"Gm5860",0,0
"Taz",27.6802697130061,28.8066624482221
"Gfpt1",33.6588313687064,37.8558757827421
"Abcc5",5.55488405805224,10.30604851987
"Kcnmb4",0,0
"Gm4013",2.21253856549538,2.06120970397401
"Hpcal1",41.5204045695091,45.8996209689821
"Tbc1d31",13.7459842792479,15.1825690390281
"Tmem176b",7.53204618040982,12.970539112812
"Mir5110",0,0
"Mir5108",0,0
"Cyp3a13",0.470752886275614,0.251367037070001
"Akap7",3.20111962667417,2.86558422259801
"Ablim1",352.49976124318,519.223751771794
"Lcn5",0,0
"Ulk1",12.7574032180691,19.8077225211161
"Cyp4b1",0,0
"Golga3",30.69308818517,41.3750143017221
"Mir1193",0,0
"Wdyhv1",15.7231464016055,20.8634640768101
"Traf1",370.576672076163,410.985105609451
"Atoh1",0,0
"Rxra",3.62479722432223,3.41859170415201
"Dapk3",125.832246501472,101.954470235592
"Mir7002",0,0
"Mir6998",0.0470752886275614,0
"Ap3m2",11.4392951364974,9.75304103831603
"Sirt2",65.3875759036827,67.3160925273462
"Inhbc",0,0
"Slit3",0,0
"Cts3",0,0
"Olfr74",0,0
"Dcakd",12.239575043166,10.507142149526
"Vps35l",105.58987239162,114.62336890392
"Cyhr1",89.2547472378564,89.6877588265763
"Taf10",232.975603417801,198.328592248231
"Hagh",30.8343140510527,30.5159583002981
"Ogfod3",8.94430483923666,10.657962371768
"Syn1",3.71894780157735,3.92132577829201
"Glyatl3",0,0
"Slx",0,0
"Ccl27a",2.30668914275051,0.955194740866003
"Sqor",4.66045357412858,9.14976014934803
"Fundc2",46.9811380503062,46.4023550431222
"Rab5if",215.887273645996,203.959213878599
"H1f5",13.9342854337582,12.869992297984
"Ankrd2",0,0
"Pop4",55.3605394260122,56.2559428962662
"Carnmt1",17.3237062149426,21.3159247435361
"Iqcm",0,0
"Clcc1",54.9368618283641,57.6635983038582
"Magea2",0,0
"Ilf3",67.1764368715301,73.7510886763382
"Tpd52l2",60.3975953091612,55.3007481554002
"Arhgap25",40.0139953334272,48.6646583767522
"Banf1",246.203759522146,199.183240174269
"Tbc1d23",7.20251916001689,8.09401859365403
"4930473A02Rik",0,0.0502734074140002
"Pard3",0.0470752886275614,0
"Rorc",0,0
"Krtap4-6",0,0
"1700017L05Rik",0,0
"1700123J17Rik",0,0
"Evi5l",19.4891694918104,23.2765876326821
"Pex5l",0,0
"Mtmr1",71.0836858276177,81.5937402329223
"Mtor",29.2337542377156,32.0241605227181
"Zfp758",3.34234549255686,5.02734074140002
"Plekhh2",0,0
"Adgrl3",0,0
"Golga5",58.7970354958241,59.5237143781762
"Plekhb1",0.0470752886275614,0.150820222242001
"Nufip1",46.2750087208928,44.4919655613901
"Gm9866",0,0
"Smap1",61.1507999272022,66.6625382309642
"Tepp",0,0.150820222242001
"Acox2",0,0
"Hars2",24.8557523953524,22.4722131140581
"Gpa33",0,0
"Sdhb",400.893157952313,374.034151160161
"Gmpr",0.0470752886275614,0.100546814828
"Krt90",0,0
"Me1",25.2323547043729,23.5279546697521
"Klk11",0.0941505772551227,0.100546814828
"Magt1",124.749514863038,136.24093409194
"Mcam",2.58914087451588,2.36285014845801
"Pbld1",0,0
"Tab2",47.4518909365819,52.1335234883182
"Mettl27",2.35376443137807,3.01640444484001
"Trmt1",31.4933680918386,23.5782280771661
"Vps37c",19.6774706463206,21.1651045212941
"Sec23a",22.9256655616224,32.5771680042721
"Rara",122.913578606563,116.734852015308
"Med1",32.5760997302725,38.1575162272261
"Ap5b1",19.3950189145553,23.9804153364781
"Bag5",39.9669200447996,36.6493140048061
"Pdcd2l",37.989757922442,31.9738871153041
"Ctcf",96.3631158206181,103.512945865426
"Mnd1",3.10696904941905,2.31257674104401
"Tktl1",0,0.251367037070001
"Lix1",0,0
"Ctnnbl1",113.875123190071,98.2342380869563
"Snph",0.235376443137807,0.251367037070001
"Raet1e",0,0
"Ppm1m",36.1538216659671,37.9061491901561
"Prkar1a",1314.20083261563,1308.61679498642
"Slc27a3",0.0470752886275614,0.351913851898001
"Impdh2",90.14917772178,79.2811634918783
"Tiprl",112.180412799479,112.461612385118
"Uaca",0,0.0502734074140002
"Smim31",0,0
"Calca",0.941505772551227,0.251367037070001
"Mir6402",0,0
"Phf3",29.939883567129,33.2307223006541
"F930015N05Rik",0,0
"9330020H09Rik",2.49499029726075,2.11148311138801
"Gm13884",0,0.0502734074140002
"Gm7443",0,0.150820222242001
"Ube2q2",42.603136207943,49.4187594879622
"Rfx3",5.41365819216956,3.82077896346401
"Bri3",2.87159260628124,2.56394377811401
"Fbxo27",2.11838798824026,4.47433325984601
"Eps15l1",33.4234549255686,33.3815425228961
"Tmprss15",0,0
"Max",15.6289958243504,16.9924117059321
"Ttc8",2.9186678949088,2.86558422259801
"Vti1b",141.131715305429,132.671522165546
"Cpsf3",102.577053919456,99.3402530500643
"Nlgn1",0,0
"Casq2",0,0
"Pidd1",12.9457043725794,12.31698481643
"Asb4",0.706129329413421,0
"Orc4",35.7301440683191,42.9837633389701
"Mapkbp1",1.97716212235758,4.87652051915802
"Mospd1",14.8287159176818,16.9924117059321
"Banf2",0,0
"Dclk1",0,0
"Gpcpd1",23.2081172933878,37.7553289679141
"Sinhcaf",9.69750945727764,12.266711409016
"Acbd5",20.6660517074994,21.6175651880201
"Mir7073",0,0.0502734074140002
"Myo7a",2.0713126996127,2.36285014845801
"4930548K13Rik",0,0
"Luc7l2",36.6245745522427,34.0350968192781
"Dnah8",12.8986290839518,13.774913631436
"Evc",0,1.91038948173201
"Shroom2",0,0
"1500009C09Rik",0,0
"Kmt2e",180.345430732188,178.118682467803
"Setd5",73.9082031452714,62.4395720081882
"Pcyox1",25.0911288384902,32.1749807449601
"Arpp21",0,0
"Iyd",0,0
"Mir7077",0,0
"Smim4",14.6874900517991,12.166164594188
"Smc6",87.3246604041263,105.523882161986
"Nsmf",28.8100766400676,34.9400181527301
"Hmbs",99.7525366018025,89.0342045301943
"Slc35b1",144.379910220731,103.161032013528
"Mir7081",0,0
"Synj2",16.2409745765087,13.82518703885
"Suds3",132.469862197958,116.483484978238
"Ptk2b",251.617417714316,245.736415439633
"Gfm2",32.8585514620378,43.8384112650081
"Rlim",46.3691592981479,44.3914187465621
"Ddt",69.0594484166325,74.8571036394463
"Epha3",0,0
"Gatad2a",354.335697499654,325.520313005651
"Shc1",72.5900950636996,91.1456876415823
"Anks1b",0,0
"Cdk6",202.564966964397,186.715435135597
"Cdk5r2",0,0
"Cdk5r1",0.517828174903175,0.251367037070001
"Kdm1a",115.663984157918,138.00050335143
"Olfr192",0,0
"Scaf4",31.1638410714456,41.6766547462061
"4930557J02Rik",0,0
"6030466F02Rik",0,0
"Plcxd2",6.11978752158298,7.59128451951403
"Morc2a",16.8058780400394,19.4055352618041
"Atp6v1c2",0.423677597648052,0.0502734074140002
"C5ar1",0,0.402187259312001
"Map1a",0.423677597648052,0.251367037070001
"Gja5",144.709437241124,354.628615898357
"Runx2",111.945036356341,116.533758385652
"Gja3",0,0
"Ackr3",0,0
"Socs1",58.5145837640588,58.2166057854122
"Sort1",1.88301154510245,1.70929585207601
"Rangrf",9.03845541649178,6.93773022313202
"Phyhd1",0.0470752886275614,0.301640444484001
"Slc4a9",0,0
"Specc1",18.2181366988662,19.3049884469761
"Gtf2a2",20.6660517074994,22.3213928918161
"Deaf1",14.922866494937,14.07655407592
"Mtarc1",0,0
"Set",341.389993127075,286.759515889457
"Glra3",0,0
"Dnhd1",1.4593339474544,2.01093629656001
"Tmem247",0,0
"Pgpep1l",0,0.150820222242001
"Notch3",0,0.0502734074140002
"Gtsf1l",0,0
"Chml",0.282451731765368,2.56394377811401
"Rnf212",0,0
"Tceal8",1.31810808157172,1.96066288914601
"Olfr935",0,0
"Gm5087",0,0
"Slco6b1",0,0
"Ranbp3",105.684022968875,86.7216277891503
"Parp6",6.96714271687908,9.80331444573003
"Gng10",105.542797102993,84.9117851222463
"Mrps18b",39.3078660040137,34.5378308934181
"D16Ertd472e",125.361493615196,109.143567495794
"2310039H08Rik",27.3507426926132,18.0481532616261
"Rps10",176.296955910217,139.910892833162
"Arih1",76.732720462925,88.6822906782963
