"","X67_S53","X68_S54"
"Zc3h14",50.7976412242988,68.1929140736989
"Troap",8.47360630475637,10.5421551309651
"Clca2",0,0
"1810013L24Rik",8.77612751913064,9.23113289928749
"Srsf7",179.833478822775,173.023275925619
"Fignl2",0,0
"Sema6a",0,0
"Anapc15",75.0518613606345,75.2941592358619
"Misp3",11.1325010938035,13.0103142173648
"Nmb",34.4450322860676,47.1370917142601
"Tcerg1",36.2931982848501,39.4790343536298
"Zfp712",0.250167530876982,0.241657041534064
"Fam129c",1.16709570290614,1.00498951761266
"Atp5g3",1305.58685307086,1179.47895400248
"Pifo",0,0
"Olfr1045",0,0
"Olfr1049",0,0
"Vsx1",0,0
"Fyco1",5.84721642725915,6.12394526857302
"Tlr3",0,0
"Olfr1444",0.0862122480539598,0
"Olfr150",0,0
"Ifi44",0.0289484988218963,0.033556434238903
"Trafd1",44.8530301124026,52.0667704161535
"Erfl",0,0
"Krt80",0,0
"Armc8",6.50544823743417,7.83422581067572
"Ppil4",22.7486020279399,28.9867454429888
"C530005A16Rik",0.135901080676193,0.118150056020965
"Katnbl1",7.92327341116101,10.6153911588618
"Gm21693",0,0
"Spag9",16.2601737428323,15.9937074562703
"Gm5860",0,0
"Taz",26.5494215938348,29.9903903247193
"Gfpt1",9.47120471578713,11.5622915578161
"Abcc5",1.57619810515697,3.17418630168655
"Kcnmb4",0,0
"Gm4013",9.35071305816026,9.45541265637011
"Hpcal1",44.1339991972484,52.9572266816678
"Tbc1d31",5.74584340810414,6.8885471558928
"Tmem176b",6.46276295807137,12.0800215403456
"Mir5110",0,0
"Mir5108",0,0
"Cyp3a13",0.28008039976921,0.162331379846064
"Akap7",1.70698682225129,1.65861607305864
"Ablim1",73.0388946247412,116.77620132123
"Lcn5",0,0
"Ulk1",4.30168363132301,7.24961855057063
"Cyp4b1",0,0
"Golga3",6.66608651043045,9.75377972050233
"Mir1193",0,0
"Wdyhv1",17.3965356929022,25.0561396336972
"Traf1",169.975555443136,204.615676199522
"Atoh1",0,0
"Rxra",1.16589999563643,1.19351875105262
"Dapk3",121.287020551702,106.667736102928
"Mir7002",0,0
"Mir6998",1.2931837208094,0
"Ap3m2",5.80086334757074,5.36831324628514
"Sirt2",61.7063124235492,68.9537171818586
"Inhbc",0,0
"Slit3",0,0
"Cts3",0,0
"Olfr74",0,0
"Dcakd",12.5545957492814,11.6983720578798
"Vps35l",51.8979897930195,61.151324493982
"Cyhr1",24.0785768632646,26.2625619690683
"Taf10",541.080368552556,499.966711300129
"Hagh",42.4180450519014,45.5667231704517
"Ogfod3",12.6509364803236,16.3626896570177
"Syn1",2.03496324071345,2.32902332653092
"Glyatl3",0,0
"Slx",0,0
"Ccl27a",1.25128791991924,0.56242488870455
"Sqor",3.9017200262135,8.31461327571538
"Fundc2",25.329110890996,27.1544407808552
"Rab5if",361.480566468992,370.685561094256
"H1f5",30.8539954748277,30.9321013163602
"Ankrd2",0,0
"Pop4",80.1731297883019,88.4303534614641
"Carnmt1",14.5449202447483,19.4258101658768
"Iqcm",0,0
"Clcc1",26.8292515943923,30.5668635488639
"Magea2",0,0
"Ilf3",23.1576240890354,27.5962390847838
"Tpd52l2",29.076095751123,28.8969414123565
"Arhgap25",16.5022740821091,21.7846198530084
"Banf1",358.026844523839,314.396810444592
"Tbc1d23",3.08173643080205,3.75906379258525
"4930473A02Rik",0,0.0680893154641757
"Pard3",0.0096799717113218,0
"Rorc",0,0
"Krtap4-6",0,0
"1700017L05Rik",0,0
"1700123J17Rik",0,0
"Evi5l",6.20503365928392,8.0440460813868
"Pex5l",0,0
