GeneID,67_S53,68_S54
Zc3h14,2568,2974
Troap,232,249
Clca2,0,0
1810013L24Rik,432,392
Srsf7,5971,4956
Fignl2,0,0
Sema6a,0,0
Anapc15,944,817
Misp3,122,123
Nmb,288,340
Tcerg1,1997,1874
Zfp712,12,10
Fam129c,35,26
Atp5g3,11421,8901
Pifo,0,0
Olfr1045,0,0
Olfr1049,0,0
Vsx1,0,0
Fyco1,570,515
Tlr3,0,0
Olfr1444,1,0
Olfr150,0,0
Ifi44,1,1
Trafd1,1402,1404
Erfl,0,0
Krt80,0,0
Armc8,540,561
Ppil4,796,875
C530005A16Rik,4,3
Katnbl1,276,319
Gm21693,0,0
Spag9,1545,1311
Gm5860,0,0
Taz,588,573
Gfpt1,715,753
Abcc5,118,205
Kcnmb4,0,0
Gm4013,47,41
Hpcal1,882,913
Tbc1d31,292,302
Tmem176b,160,258
Mir5110,0,0
Mir5108,0,0
Cyp3a13,10,5
Akap7,68,57
Ablim1,7488,10328
Lcn5,0,0
Ulk1,271,394
Cyp4b1,0,0
Golga3,652,823
Mir1193,0,0
Wdyhv1,334,415
Traf1,7872,8175
Atoh1,0,0
Rxra,77,68
Dapk3,2673,2028
Mir7002,0,0
Mir6998,1,0
Ap3m2,243,194
Sirt2,1389,1339
Inhbc,0,0
Slit3,0,0
Cts3,0,0
Olfr74,0,0
Dcakd,260,209
Vps35l,2243,2280
Cyhr1,1896,1784
Taf10,4949,3945
Hagh,655,607
Ogfod3,190,212
Syn1,79,78
Glyatl3,0,0
Slx,0,0
Ccl27a,49,19
Sqor,99,182
Fundc2,998,923
Rab5if,4586,4057
H1f5,296,256
Ankrd2,0,0
Pop4,1176,1119
Carnmt1,368,424
Iqcm,0,0
Clcc1,1167,1147
Magea2,0,0
Ilf3,1427,1467
Tpd52l2,1283,1100
Arhgap25,850,968
Banf1,5230,3962
Tbc1d23,153,161
4930473A02Rik,0,1
Pard3,1,0
Rorc,0,0
Krtap4-6,0,0
1700017L05Rik,0,0
1700123J17Rik,0,0
Evi5l,414,463
Pex5l,0,0
Mtmr1,1510,1623
Mtor,621,637
Zfp758,71,100
Plekhh2,0,0
Adgrl3,0,0
Golga5,1249,1184
Plekhb1,1,3
Nufip1,983,885
Gm9866,0,0
Smap1,1299,1326
Tepp,0,3
Acox2,0,0
Hars2,528,447
Gpa33,0,0
Sdhb,8516,7440
Gmpr,1,2
Krt90,0,0
Me1,536,468
Klk11,2,2
Magt1,2650,2710
Mcam,55,47
Pbld1,0,0
Tab2,1008,1037
Mettl27,50,60
Trmt1,669,469
Vps37c,418,421
Sec23a,487,648
Rara,2611,2322
Med1,692,759
Ap5b1,412,477
Bag5,849,729
Pdcd2l,807,636
Ctcf,2047,2059
Mnd1,66,46
Tktl1,0,5
Lix1,0,0
Ctnnbl1,2419,1954
Snph,5,5
Raet1e,0,0
Ppm1m,768,754
Prkar1a,27917,26030
Slc27a3,1,7
Impdh2,1915,1577
Tiprl,2383,2237
Uaca,0,1
Smim31,0,0
Calca,20,5
Mir6402,0,0
Phf3,636,661
F930015N05Rik,0,0
9330020H09Rik,53,42
Gm13884,0,1
Gm7443,0,3
Ube2q2,905,983
Rfx3,115,76
Bri3,61,51
Fbxo27,45,89
Eps15l1,710,664
Tmprss15,0,0
Max,332,338
Ttc8,62,57
Vti1b,2998,2639
Cpsf3,2179,1976
Nlgn1,0,0
Casq2,0,0
Pidd1,275,245
Asb4,15,0
Orc4,759,855
Mapkbp1,42,97
Mospd1,315,338
Banf2,0,0
Dclk1,0,0
Gpcpd1,493,751
Sinhcaf,206,244
Acbd5,439,430
Mir7073,0,1
Myo7a,44,47
4930548K13Rik,0,0
Luc7l2,778,677
Dnah8,274,274
Evc,0,38
Shroom2,0,0
1500009C09Rik,0,0
Kmt2e,3831,3543
Setd5,1570,1242
Pcyox1,533,640
Arpp21,0,0
Iyd,0,0
Mir7077,0,0
Smim4,312,242
Smc6,1855,2099
Nsmf,612,695
Hmbs,2119,1771
Slc35b1,3067,2052
Mir7081,0,0
Synj2,345,275
Suds3,2814,2317
Ptk2b,5345,4888
Gfm2,698,872
Rlim,985,883
Ddt,1467,1489
Epha3,0,0
Gatad2a,7527,6475
Shc1,1542,1813
Anks1b,0,0
Cdk6,4303,3714
Cdk5r2,0,0
Cdk5r1,11,5
Kdm1a,2457,2745
Olfr192,0,0
Scaf4,662,829
4930557J02Rik,0,0
6030466F02Rik,0,0
Plcxd2,130,151
Morc2a,357,386
Atp6v1c2,9,1
C5ar1,0,8
Map1a,9,5
Gja5,3074,7054
Runx2,2378,2318
Gja3,0,0
Ackr3,0,0
Socs1,1243,1158
Sort1,40,34
Rangrf,192,138
Phyhd1,1,6
Slc4a9,0,0
Specc1,387,384
Gtf2a2,439,444
Deaf1,317,280
Mtarc1,0,0
Set,7252,5704
Glra3,0,0
Dnhd1,31,40
Tmem247,0,0
Pgpep1l,0,3
Notch3,0,1
Gtsf1l,0,0
Chml,6,51
Rnf212,0,0
Tceal8,28,39
Olfr935,0,0
Gm5087,0,0
Slco6b1,0,0
Ranbp3,2245,1725
Parp6,148,195
Gng10,2242,1689
