#File	data/raw_data/MAP3Kneg_DSS_D1_REP3_read1.fastq.gz	data/raw_data/MAP3Kneg_DSS_D1_REP3_read2.fastq.gz
#Total	33324320
#Matched	2027	0.00608%
#Name	Reads	ReadsPct
TruSeq_Universal_Adapter	1943	0.00583%
TruSeq_Adapter_Index_6	25	0.00008%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	21	0.00006%
Reverse_adapter	9	0.00003%
PhiX_read2_adapter	8	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	4	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	3	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	2	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	2	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	2	0.00001%
TruSeq_Adapter_Index_9	2	0.00001%
I5_Adapter_Nextera	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	1	0.00000%
