## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/4194S_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/4194S_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/4194S_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 29 01:45:54 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	3313578	1062534	0	0	1638985	0	0.494627	2117287

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	884217	884217
2.0	1.209085	432647	432647
3.0	1.252802	195910	195910
4.0	1.261943	83016	83016
5.0	1.263854	34904	34904
6.0	1.264254	15573	15573
7.0	1.264337	7620	7620
8.0	1.264355	4500	4500
9.0	1.264358	2893	2893
10.0	1.264359	2044	2044
11.0	1.264359	1517	1517
12.0	1.264359	1343	1343
13.0	1.264359	979	979
14.0	1.264359	899	899
15.0	1.264359	709	709
16.0	1.264359	629	629
17.0	1.264359	502	502
18.0	1.264359	440	440
19.0	1.264359	404	404
20.0	1.264359	330	330
21.0	1.264359	318	318
22.0	1.264359	276	276
23.0	1.264359	234	234
24.0	1.264359	196	196
25.0	1.264359	206	206
26.0	1.264359	156	156
27.0	1.264359	126	126
28.0	1.264359	144	144
29.0	1.264359	123	123
30.0	1.264359	96	96
31.0	1.264359	97	97
32.0	1.264359	95	95
33.0	1.264359	83	83
34.0	1.264359	74	74
35.0	1.264359	73	73
36.0	1.264359	78	78
37.0	1.264359	65	65
38.0	1.264359	56	56
39.0	1.264359	52	52
40.0	1.264359	61	61
41.0	1.264359	44	44
42.0	1.264359	53	53
43.0	1.264359	36	36
44.0	1.264359	39	39
45.0	1.264359	41	41
46.0	1.264359	32	32
47.0	1.264359	35	35
48.0	1.264359	27	27
49.0	1.264359	29	29
50.0	1.264359	31	31
51.0	1.264359	31	31
52.0	1.264359	19	19
53.0	1.264359	17	17
54.0	1.264359	25	25
55.0	1.264359	17	17
56.0	1.264359	26	26
57.0	1.264359	18	18
58.0	1.264359	11	11
59.0	1.264359	16	16
60.0	1.264359	18	18
61.0	1.264359	10	10
62.0	1.264359	14	14
63.0	1.264359	11	11
64.0	1.264359	15	15
65.0	1.264359	11	11
66.0	1.264359	13	13
67.0	1.264359	8	8
68.0	1.264359	13	13
69.0	1.264359	6	6
70.0	1.264359	4	4
71.0	1.264359	5	5
72.0	1.264359	14	14
73.0	1.264359	10	10
74.0	1.264359	4	4
75.0	1.264359	3	3
76.0	1.264359	8	8
77.0	1.264359	9	9
78.0	1.264359	3	3
79.0	1.264359	11	11
