## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/4306L_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/4306L_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/4306L_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 29 01:25:56 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	24708611	5662260	0	0	7956022	0	0.321994	29592541

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12832858	12832858
2.0	1.433891	2735589	2735589
3.0	1.622153	642832	642832
4.0	1.703839	211414	211414
5.0	1.739281	96956	96956
6.0	1.754659	55572	55572
7.0	1.761332	36069	36069
8.0	1.764227	25130	25130
9.0	1.765483	18562	18562
10.0	1.766028	14256	14256
11.0	1.766265	10990	10990
12.0	1.766367	8977	8977
13.0	1.766412	7146	7146
14.0	1.766431	5865	5865
15.0	1.766439	5043	5043
16.0	1.766443	4201	4201
17.0	1.766445	3602	3602
18.0	1.766445	3153	3153
19.0	1.766446	2850	2850
20.0	1.766446	2449	2449
21.0	1.766446	2156	2156
22.0	1.766446	1973	1973
23.0	1.766446	1670	1670
24.0	1.766446	1578	1578
25.0	1.766446	1399	1399
26.0	1.766446	1296	1296
27.0	1.766446	1065	1065
28.0	1.766446	1051	1051
29.0	1.766446	956	956
30.0	1.766446	871	871
31.0	1.766446	780	780
32.0	1.766446	694	694
33.0	1.766446	639	639
34.0	1.766446	667	667
35.0	1.766446	579	579
36.0	1.766446	543	543
37.0	1.766446	485	485
38.0	1.766446	465	465
39.0	1.766446	473	473
40.0	1.766446	406	406
41.0	1.766446	421	421
42.0	1.766446	362	362
43.0	1.766446	359	359
44.0	1.766446	319	319
45.0	1.766446	307	307
46.0	1.766446	304	304
47.0	1.766446	270	270
48.0	1.766446	253	253
49.0	1.766446	233	233
50.0	1.766446	202	202
51.0	1.766446	231	231
52.0	1.766446	197	197
53.0	1.766446	196	196
54.0	1.766446	182	182
55.0	1.766446	171	171
56.0	1.766446	192	192
57.0	1.766446	160	160
58.0	1.766446	170	170
59.0	1.766446	167	167
60.0	1.766446	149	149
61.0	1.766446	147	147
62.0	1.766446	135	135
63.0	1.766446	124	124
64.0	1.766446	128	128
65.0	1.766446	107	107
66.0	1.766446	87	87
67.0	1.766446	86	86
68.0	1.766446	106	106
69.0	1.766446	89	89
70.0	1.766446	95	95
71.0	1.766446	81	81
72.0	1.766446	85	85
73.0	1.766446	93	93
74.0	1.766446	64	64
75.0	1.766446	97	97
76.0	1.766446	74	74
