## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/MAP3Kneg_DSS_D1_REP2_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/MAP3Kneg_DSS_D1_REP2_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/MAP3Kneg_DSS_D1_REP2_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 08:01:49 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	7984	13030104	4255321	0	4315	2750740	0	0.211207	26345176

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	9599893	9599893
2.0	1.60982	420333	420333
3.0	1.9817	99124	99124
4.0	2.20848	45362	45362
5.0	2.346775	26089	26089
6.0	2.43111	16803	16803
7.0	2.482539	11523	11523
8.0	2.513902	8605	8605
9.0	2.533027	6532	6532
10.0	2.54469	5216	5216
11.0	2.551803	4214	4214
12.0	2.55614	3471	3471
13.0	2.558785	2882	2882
14.0	2.560398	2415	2415
15.0	2.561382	2067	2067
16.0	2.561981	1856	1856
17.0	2.562347	1627	1627
18.0	2.56257	1334	1334
19.0	2.562706	1193	1193
20.0	2.562789	1126	1126
21.0	2.56284	980	980
22.0	2.562871	850	850
23.0	2.562889	801	801
24.0	2.562901	778	778
25.0	2.562908	697	697
26.0	2.562912	594	594
27.0	2.562915	572	572
28.0	2.562916	518	518
29.0	2.562917	476	476
30.0	2.562918	457	457
31.0	2.562918	405	405
32.0	2.562919	375	375
33.0	2.562919	358	358
34.0	2.562919	354	354
35.0	2.562919	319	319
36.0	2.562919	336	336
37.0	2.562919	269	269
38.0	2.562919	281	281
39.0	2.562919	266	266
40.0	2.562919	224	224
41.0	2.562919	226	226
42.0	2.562919	214	214
43.0	2.562919	228	228
44.0	2.562919	201	201
45.0	2.562919	178	178
46.0	2.562919	191	191
47.0	2.562919	185	185
48.0	2.562919	147	147
49.0	2.562919	147	147
50.0	2.562919	143	143
51.0	2.562919	151	151
52.0	2.562919	128	128
53.0	2.562919	139	139
54.0	2.562919	143	143
55.0	2.562919	115	115
56.0	2.562919	115	115
57.0	2.562919	111	111
58.0	2.562919	111	111
59.0	2.562919	96	96
60.0	2.562919	97	97
61.0	2.562919	83	83
62.0	2.562919	91	91
63.0	2.562919	100	100
64.0	2.562919	77	77
65.0	2.562919	75	75
66.0	2.562919	81	81
67.0	2.562919	66	66
68.0	2.562919	79	79
69.0	2.562919	72	72
70.0	2.562919	91	91
71.0	2.562919	73	73
72.0	2.562919	73	73
73.0	2.562919	64	64
74.0	2.562919	60	60
75.0	2.562919	57	57
76.0	2.562919	61	61
77.0	2.562919	59	59
78.0	2.562919	56	56
79.0	2.562919	39	39
80.0	2.562919	53	53
81.0	2.562919	51	51
