## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/WT_DSS_D1_REP2_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/WT_DSS_D1_REP2_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/WT_DSS_D1_REP2_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 12 08:12:07 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	6815	17872791	7025627	0	3529	6372510	0	0.356579	18662834

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	10696914	10696914
2.0	1.383787	431866	431866
3.0	1.531079	111676	111676
4.0	1.587608	57020	57020
5.0	1.609303	35944	35944
6.0	1.61763	24877	24877
7.0	1.620825	18103	18103
8.0	1.622052	14083	14083
9.0	1.622522	11169	11169
10.0	1.622703	9112	9112
11.0	1.622772	7592	7592
12.0	1.622799	6408	6408
13.0	1.622809	5441	5441
14.0	1.622813	4822	4822
15.0	1.622815	4180	4180
16.0	1.622815	3794	3794
17.0	1.622815	3197	3197
18.0	1.622815	2854	2854
19.0	1.622815	2633	2633
20.0	1.622815	2392	2392
21.0	1.622815	2140	2140
22.0	1.622815	2006	2006
23.0	1.622815	1821	1821
24.0	1.622815	1744	1744
25.0	1.622815	1518	1518
26.0	1.622815	1460	1460
27.0	1.622815	1331	1331
28.0	1.622815	1260	1260
29.0	1.622815	1203	1203
30.0	1.622815	1110	1110
31.0	1.622815	985	985
32.0	1.622815	1001	1001
33.0	1.622815	915	915
34.0	1.622815	807	807
35.0	1.622815	811	811
36.0	1.622815	796	796
37.0	1.622815	710	710
38.0	1.622815	681	681
39.0	1.622815	692	692
40.0	1.622815	591	591
41.0	1.622815	564	564
42.0	1.622815	580	580
43.0	1.622815	544	544
44.0	1.622815	513	513
45.0	1.622815	524	524
46.0	1.622815	469	469
47.0	1.622815	462	462
48.0	1.622815	444	444
49.0	1.622815	397	397
50.0	1.622815	380	380
51.0	1.622815	364	364
52.0	1.622815	364	364
53.0	1.622815	352	352
54.0	1.622815	311	311
55.0	1.622815	324	324
56.0	1.622815	335	335
57.0	1.622815	292	292
58.0	1.622815	272	272
59.0	1.622815	298	298
60.0	1.622815	281	281
61.0	1.622815	243	243
62.0	1.622815	241	241
63.0	1.622815	272	272
64.0	1.622815	228	228
65.0	1.622815	237	237
66.0	1.622815	206	206
67.0	1.622815	231	231
68.0	1.622815	211	211
69.0	1.622815	223	223
70.0	1.622815	201	201
71.0	1.622815	188	188
72.0	1.622815	189	189
73.0	1.622815	204	204
74.0	1.622815	186	186
75.0	1.622815	177	177
76.0	1.622815	164	164
77.0	1.622815	161	161
78.0	1.622815	147	147
