Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
V4397L_trimmed_Aligned.sortedByCoord.out	7766.0	13130.0	20242.0	27098.0	32465.0	37980.0	42959.0	47089.0	51111.0	55688.0	59911.0	65260.0	66852.0	68676.0	73424.0	75444.0	78419.0	77772.0	82204.0	82737.0	82424.0	83040.0	83876.0	85415.0	86856.0	88881.0	88451.0	89120.0	88238.0	89942.0	91849.0	96865.0	98354.0	97593.0	100344.0	103425.0	102679.0	98495.0	100108.0	101051.0	101870.0	101775.0	102577.0	103721.0	103040.0	100100.0	100787.0	104312.0	100254.0	104959.0	105739.0	105529.0	106393.0	107169.0	103846.0	108231.0	108951.0	109263.0	110539.0	110759.0	108353.0	104944.0	106713.0	101980.0	104715.0	107114.0	104282.0	101205.0	103805.0	105858.0	107644.0	106197.0	103758.0	104183.0	105783.0	105319.0	104221.0	102226.0	100365.0	101895.0	101980.0	99663.0	95903.0	93514.0	91028.0	89232.0	85078.0	83114.0	80062.0	75232.0	71216.0	66985.0	62955.0	58223.0	51322.0	44185.0	37808.0	30928.0	21656.0	13950.0
V4306S_trimmed_Aligned.sortedByCoord.out	5101.0	8921.0	14149.0	19465.0	25206.0	29434.0	32285.0	33561.0	35525.0	39288.0	43280.0	48147.0	49502.0	50948.0	55598.0	57260.0	60721.0	59276.0	62406.0	60533.0	58758.0	59767.0	59389.0	61820.0	62758.0	63125.0	62560.0	64238.0	64102.0	66457.0	65418.0	68812.0	69985.0	71098.0	72272.0	74438.0	74364.0	73102.0	74010.0	74515.0	75919.0	76018.0	76658.0	77311.0	77159.0	76144.0	76759.0	77481.0	72585.0	76955.0	78374.0	77683.0	77011.0	78489.0	76273.0	79017.0	79729.0	80579.0	80646.0	81667.0	79115.0	77581.0	78085.0	75011.0	76376.0	77433.0	75142.0	75083.0	76660.0	77290.0	79411.0	79533.0	77096.0	76600.0	77903.0	78004.0	77330.0	75916.0	75748.0	76264.0	77554.0	75910.0	75194.0	74355.0	72066.0	70476.0	68657.0	67194.0	64439.0	61077.0	56958.0	51451.0	48337.0	43180.0	36720.0	31181.0	25794.0	20749.0	13735.0	8475.0
V4220S_trimmed_Aligned.sortedByCoord.out	3773.0	6056.0	9708.0	13137.0	16478.0	19211.0	21136.0	22440.0	24388.0	28288.0	31114.0	34164.0	34560.0	35120.0	37737.0	38884.0	40570.0	40021.0	42080.0	41460.0	40499.0	40964.0	40842.0	42019.0	41797.0	43706.0	42045.0	41826.0	41351.0	42604.0	42278.0	45387.0	47022.0	46681.0	47565.0	49037.0	48701.0	47644.0	48270.0	47740.0	47381.0	47337.0	46160.0	46442.0	46112.0	45025.0	46069.0	46567.0	44292.0	47232.0	47707.0	47386.0	47187.0	47465.0	46834.0	48809.0	49650.0	49977.0	50759.0	50694.0	49640.0	48120.0	48625.0	46475.0	46994.0	47580.0	46034.0	44933.0	45831.0	46161.0	47841.0	48313.0	48209.0	48209.0	49333.0	49425.0	49215.0	48316.0	47948.0	47553.0	47947.0	46466.0	45222.0	44815.0	43277.0	42076.0	39137.0	37813.0	36020.0	33787.0	32024.0	29376.0	26420.0	24188.0	20901.0	17602.0	14750.0	11945.0	8057.0	5360.0
V4306L_trimmed_Aligned.sortedByCoord.out	7794.0	13677.0	22765.0	31215.0	38305.0	45478.0	50465.0	54042.0	56776.0	61463.0	66928.0	73427.0	75935.0	77090.0	81006.0	83746.0	86872.0	85557.0	91235.0	92483.0	92022.0	93216.0	94148.0	95401.0	96584.0	97918.0	97634.0	98769.0	96740.0	97897.0	98711.0	103173.0	104538.0	103937.0	106817.0	110598.0	108898.0	104326.0	106986.0	107265.0	108501.0	109674.0	112949.0	114033.0	113249.0	110656.0	111539.0	115356.0	109406.0	114235.0	116521.0	116792.0	117591.0	118160.0	113915.0	119758.0	120882.0	121731.0	122610.0	122309.0	119478.0	115880.0	116738.0	110586.0	112606.0	114237.0	112617.0	110337.0	112971.0	115594.0	117277.0	115964.0	113830.0	114407.0	115802.0	115073.0	113795.0	112023.0	109501.0	111281.0	111573.0	108685.0	107488.0	105883.0	102017.0	100686.0	97383.0	93684.0	89142.0	83992.0	79521.0	73494.0	68394.0	61960.0	53548.0	45427.0	38381.0	31295.0	21627.0	13553.0
V4194S_trimmed_Aligned.sortedByCoord.out	995.0	1639.0	2415.0	3124.0	4085.0	4835.0	5377.0	5621.0	6102.0	6972.0	7679.0	8389.0	8494.0	8687.0	9263.0	9337.0	9827.0	9624.0	10297.0	10201.0	9943.0	10090.0	9973.0	10349.0	10535.0	10899.0	10643.0	10760.0	10798.0	10878.0	11006.0	11716.0	11908.0	12047.0	12295.0	12624.0	12328.0	12034.0	11932.0	12077.0	12115.0	12545.0	12348.0	12474.0	12672.0	12476.0	12598.0	12721.0	12135.0	12736.0	13129.0	12846.0	12896.0	13295.0	13006.0	13456.0	13917.0	14227.0	14308.0	14464.0	13844.0	13567.0	13769.0	13154.0	13363.0	13663.0	13093.0	13034.0	13379.0	13285.0	13543.0	13617.0	13437.0	13497.0	13927.0	13947.0	13635.0	13249.0	13240.0	13205.0	13503.0	13148.0	13048.0	13086.0	12759.0	12354.0	11686.0	11358.0	10889.0	10379.0	9719.0	8938.0	8268.0	7529.0	6417.0	5399.0	4428.0	3395.0	2157.0	1282.0
V4220L_trimmed_Aligned.sortedByCoord.out	9091.0	16056.0	26392.0	35658.0	43178.0	49389.0	54073.0	57093.0	60005.0	64701.0	69674.0	74977.0	76877.0	77625.0	82540.0	85539.0	89661.0	89311.0	94469.0	93792.0	92819.0	93218.0	93094.0	94573.0	95422.0	96889.0	97009.0	99948.0	98488.0	100307.0	100228.0	105712.0	108219.0	107138.0	110930.0	115121.0	112521.0	107977.0	110945.0	111397.0	112719.0	112768.0	115104.0	116560.0	115458.0	112696.0	114744.0	117784.0	112478.0	119171.0	121696.0	121801.0	122707.0	123303.0	120261.0	125821.0	127062.0	127985.0	129017.0	128882.0	126399.0	123104.0	124957.0	118454.0	120877.0	123226.0	120864.0	117881.0	120125.0	122444.0	123254.0	121865.0	118844.0	118585.0	121316.0	120745.0	119492.0	117298.0	114686.0	115825.0	115373.0	112869.0	111394.0	110120.0	106040.0	103787.0	100701.0	97154.0	91643.0	86477.0	81498.0	74821.0	70943.0	64433.0	55425.0	46795.0	39347.0	31536.0	21831.0	14491.0
V4301S_trimmed_Aligned.sortedByCoord.out	6208.0	10857.0	18029.0	24697.0	31764.0	36392.0	40301.0	43379.0	46371.0	51074.0	56645.0	62707.0	64220.0	65899.0	70345.0	73162.0	78532.0	76939.0	81737.0	79492.0	77822.0	79397.0	78855.0	81244.0	81456.0	82420.0	81452.0	84587.0	82826.0	85498.0	84672.0	89659.0	90802.0	90928.0	92375.0	95928.0	95373.0	93347.0	95728.0	96481.0	96896.0	97109.0	97350.0	99407.0	98493.0	97314.0	99450.0	100347.0	95213.0	101148.0	103188.0	101930.0	101639.0	102605.0	100212.0	103601.0	104344.0	105069.0	105354.0	105463.0	102608.0	99754.0	101161.0	98174.0	99451.0	101036.0	98246.0	96856.0	98184.0	98801.0	100711.0	100440.0	97816.0	97573.0	99353.0	99660.0	98159.0	96580.0	96165.0	96557.0	97578.0	94768.0	93730.0	92934.0	90070.0	87565.0	83758.0	82181.0	78379.0	73874.0	69414.0	63127.0	58852.0	52947.0	45155.0	38284.0	32001.0	25200.0	16646.0	10538.0
V4397S_trimmed_Aligned.sortedByCoord.out	4306.0	7655.0	11876.0	15821.0	21104.0	23693.0	25654.0	26867.0	29479.0	31958.0	35243.0	38912.0	39800.0	40620.0	42843.0	44048.0	45676.0	45030.0	47652.0	48457.0	47959.0	48487.0	48075.0	49388.0	49598.0	51703.0	52263.0	53416.0	52226.0	55009.0	54858.0	57178.0	56772.0	56892.0	56625.0	57589.0	57129.0	56117.0	55761.0	56411.0	57220.0	58512.0	59262.0	59718.0	60472.0	59167.0	58497.0	59734.0	57365.0	57601.0	60749.0	61311.0	61700.0	62514.0	61764.0	63918.0	64885.0	66529.0	66669.0	66761.0	63100.0	61774.0	62022.0	60246.0	61196.0	62062.0	60194.0	58364.0	59420.0	59934.0	60325.0	59336.0	57787.0	57068.0	58398.0	58123.0	58854.0	57884.0	57706.0	57790.0	58614.0	57594.0	57145.0	55894.0	55273.0	54304.0	52141.0	50755.0	48754.0	45779.0	43154.0	40763.0	37240.0	34117.0	29836.0	24723.0	19883.0	16214.0	10523.0	6057.0
V4194L_trimmed_Aligned.sortedByCoord.out	6977.0	11774.0	19951.0	27294.0	33745.0	39186.0	42945.0	45416.0	47944.0	52612.0	57245.0	62270.0	64373.0	65838.0	69859.0	72544.0	75678.0	74125.0	78589.0	78298.0	77164.0	77539.0	77455.0	79068.0	80033.0	81300.0	80947.0	82343.0	81360.0	83082.0	83088.0	87731.0	89618.0	89560.0	92725.0	96041.0	95889.0	92178.0	94420.0	94742.0	95292.0	95379.0	95752.0	97341.0	96493.0	94744.0	95473.0	97904.0	92763.0	97655.0	99567.0	98904.0	99344.0	99899.0	96987.0	101602.0	102208.0	102322.0	103156.0	102890.0	101611.0	98638.0	99792.0	94677.0	97271.0	99109.0	97146.0	95041.0	96520.0	98262.0	100606.0	99384.0	96849.0	97582.0	99224.0	98519.0	97136.0	95376.0	92686.0	94032.0	94910.0	92562.0	89353.0	88000.0	84983.0	83224.0	80603.0	78189.0	74387.0	69927.0	66288.0	60590.0	55993.0	51166.0	44455.0	38211.0	32170.0	25826.0	17452.0	11585.0
V4301L_trimmed_Aligned.sortedByCoord.out	6609.0	11722.0	19473.0	26091.0	31214.0	36202.0	40362.0	43491.0	45926.0	49996.0	54951.0	59238.0	60276.0	61487.0	66397.0	68756.0	72485.0	70651.0	75751.0	74474.0	73148.0	73391.0	73421.0	74913.0	76259.0	77260.0	77465.0	80755.0	80023.0	83380.0	83638.0	90322.0	92153.0	90051.0	93203.0	96908.0	95796.0	92719.0	94651.0	94805.0	95959.0	96612.0	96220.0	96930.0	96156.0	94289.0	96868.0	97549.0	93206.0	100049.0	101434.0	101034.0	100974.0	101270.0	98057.0	102000.0	102107.0	101765.0	102295.0	102274.0	100976.0	97873.0	99304.0	95397.0	97184.0	99877.0	95917.0	93702.0	95832.0	97688.0	98034.0	96499.0	93351.0	92749.0	94664.0	93972.0	92959.0	91462.0	90203.0	91317.0	91645.0	88652.0	86805.0	85753.0	82314.0	78530.0	75035.0	73037.0	69001.0	64362.0	59737.0	53888.0	51620.0	47091.0	39568.0	33376.0	28087.0	22659.0	15675.0	10509.0
