Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
4194L	0.312011	88.3	20406108.0					
4194L_read1				50.722831218155655	50.0	100.0	20.0	23110000.0
4194L_read2				49.90101098910847	50.0	100.0	0.0	23110000.0
4194L_trimmed_read1				50.722831218155655	50.0	100.0	20.0	23110000.0
4194L_trimmed_read2				49.90101098910847	50.0	100.0	0.0	23110000.0
4194S	0.494627	65.12	2896061.0					
4194S_read1				45.32628283206426	49.0	100.0	0.0	4447410.0
4194S_read2				45.456813722810985	49.0	100.0	0.0	4447410.0
4194S_trimmed_read1				45.32628283206426	49.0	100.0	0.0	4447410.0
4194S_trimmed_read2				45.456813722810985	49.0	100.0	0.0	4447410.0
4202L	0.369081	86.65	14672767.0					
4202L_read1				51.06683237816091	50.0	100.0	30.0	16932988.0
4202L_read2				50.08982536314689	50.0	100.0	10.0	16932988.0
4202L_trimmed_read1				51.06683237816091	50.0	100.0	30.0	16932988.0
4202L_trimmed_read2				50.08982536314689	50.0	100.0	10.0	16932988.0
4202S	0.519413	77.04	9295544.0					
4202S_read1				53.469251596498644	47.0	100.0	20.0	12065231.0
4202S_read2				53.731630215735365	47.0	100.0	10.0	12065231.0
4202S_trimmed_read1				53.469251596498644	47.0	100.0	20.0	12065231.0
4202S_trimmed_read2				53.731630215735365	47.0	100.0	10.0	12065231.0
4220L	0.417853	88.45	24025074.0					
4220L_read1				57.68750280077005	51.0	100.0	20.0	27161744.0
4220L_read2				57.10298433317254	51.0	100.0	10.0	27161744.0
4220L_trimmed_read1				57.68750280077005	51.0	100.0	20.0	27161744.0
4220L_trimmed_read2				57.10298433317254	51.0	100.0	10.0	27161744.0
4220S	0.454771	82.82	9000217.0					
4220S_read1				51.55534780779739	50.0	100.0	10.0	10866616.0
4220S_read2				50.827792227798824	50.0	100.0	10.0	10866616.0
4220S_trimmed_read1				51.55534780779739	50.0	100.0	10.0	10866616.0
4220S_trimmed_read2				50.827792227798824	50.0	100.0	10.0	10866616.0
4301L	0.35265	88.83	18694319.0					
4301L_read1				53.296477247342565	50.0	100.0	20.0	21045851.0
4301L_read2				52.731958171773414	50.0	100.0	20.0	21045851.0
4301L_trimmed_read1				53.296477247342565	50.0	100.0	20.0	21045851.0
4301L_trimmed_read2				52.731958171773414	50.0	100.0	20.0	21045851.0
4301S	0.476773	84.24	19205968.0					
4301S_read1				58.2138797490491	48.0	100.0	20.0	22799140.0
4301S_read2				57.541588341627225	48.0	100.0	20.0	22799140.0
4301S_trimmed_read1				58.2138797490491	48.0	100.0	20.0	22799140.0
4301S_trimmed_read2				57.541588341627225	48.0	100.0	20.0	22799140.0
4306L	0.321994	89.76	22735781.0					
4306L_read1				54.25242042648763	51.0	100.0	20.0	25330261.0
4306L_read2				53.28341787396745	51.0	100.0	20.0	25330261.0
4306L_trimmed_read1				54.25242042648763	51.0	100.0	20.0	25330261.0
4306L_trimmed_read2				53.28341787396745	51.0	100.0	20.0	25330261.0
4306S	0.610838	79.92	14995625.0					
4306S_read1				63.66782807347863	49.0	100.0	30.0	18762753.0
4306S_read2				63.16658216059386	49.0	100.0	20.0	18762753.0
4306S_trimmed_read1				63.66782807347863	49.0	100.0	30.0	18762753.0
4306S_trimmed_read2				63.16658216059386	49.0	100.0	20.0	18762753.0
4397L	0.294123	91.13	23792837.0					
4397L_read1				52.76103242503902	49.0	100.0	20.0	26107705.0
4397L_read2				51.87315832892578	50.0	100.0	20.0	26107705.0
4397L_trimmed_read1				52.76103242503902	49.0	100.0	20.0	26107705.0
4397L_trimmed_read2				51.87315832892578	50.0	100.0	20.0	26107705.0
4397S	0.536439	80.39	12348529.0					
4397S_read1				57.73194307086072	49.0	100.0	20.0	15360349.0
4397S_read2				57.16642419653714	49.0	100.0	10.0	15360349.0
4397S_trimmed_read1				57.73194307086072	49.0	100.0	20.0	15360349.0
4397S_trimmed_read2				57.16642419653714	49.0	100.0	10.0	15360349.0
