Sample	pe_sense	pe_antisense	failed
4194L_trimmed_rseqc_strand_specificity	0.4807	0.4818	0.0375
4194S_trimmed_rseqc_strand_specificity	0.4661	0.4898	0.0441
4202L_trimmed_rseqc_strand_specificity	0.4788	0.4763	0.0448
4202S_trimmed_rseqc_strand_specificity	0.4676	0.4948	0.0376
4220L_trimmed_rseqc_strand_specificity	0.4784	0.4826	0.039
4220S_trimmed_rseqc_strand_specificity	0.4757	0.4868	0.0376
4301L_trimmed_rseqc_strand_specificity	0.4766	0.4741	0.0493
4301S_trimmed_rseqc_strand_specificity	0.4744	0.4811	0.0444
4306L_trimmed_rseqc_strand_specificity	0.4821	0.478	0.0399
4306S_trimmed_rseqc_strand_specificity	0.4699	0.4875	0.0426
4397L_trimmed_rseqc_strand_specificity	0.4844	0.4845	0.0311
4397S_trimmed_rseqc_strand_specificity	0.4718	0.4812	0.047
