Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
4194L	0.312011	88.3	20406108.0
4194S	0.494627	65.12	2896061.0
4202L	0.369081	86.65	14672767.0
4202S	0.519413	77.04	9295544.0
4220L	0.417853	88.45	24025074.0
4220S	0.454771	82.82	9000217.0
4301L	0.35265	88.83	18694319.0
4301S	0.476773	84.24	19205968.0
4306L	0.321994	89.76	22735781.0
4306S	0.610838	79.92	14995625.0
4397L	0.294123	91.13	23792837.0
4397S	0.536439	80.39	12348529.0
