Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
4194L	Unknown Library	0.0	22279339.0	5542632.0	0.0	0.0	6951391.0	0.0	0.312011	27808501.0
4194S	Unknown Library	0.0	3313578.0	1062534.0	0.0	0.0	1638985.0	0.0	0.494627	2117287.0
4202L	Unknown Library	0.0	16112862.0	4039928.0	0.0	0.0	5946958.0	0.0	0.369081	16039799.0
4202S	Unknown Library	0.0	10966106.0	3984688.0	0.0	0.0	5695942.0	0.0	0.519413	6446588.0
4220L	Unknown Library	0.0	26149813.0	6236944.0	0.0	0.0	10926784.0	0.0	0.417853	21776682.0
4220S	Unknown Library	0.0	9945720.0	2524664.0	0.0	0.0	4523021.0	0.0	0.454771	7279232.0
4301L	Unknown Library	0.0	20295772.0	4730214.0	0.0	0.0	7157311.0	0.0	0.35265	21514459.0
4301S	Unknown Library	0.0	21815678.0	6570834.0	0.0	0.0	10401132.0	0.0	0.476773	14808652.0
4306L	Unknown Library	0.0	24708611.0	5662260.0	0.0	0.0	7956022.0	0.0	0.321994	29592541.0
4306S	Unknown Library	0.0	17313210.0	5736706.0	0.0	0.0	10575568.0	0.0	0.610838	7475106.0
4397L	Unknown Library	0.0	25475999.0	4968880.0	0.0	0.0	7493072.0	0.0	0.294123	34318436.0
4397S	Unknown Library	0.0	13881612.0	3854564.0	0.0	0.0	7446635.0	0.0	0.536439	7707831.0
