Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
4194L	23110000.0	200.0	20406108.0	88.3	199.05	12427715.0	12205717.0	12293751.0	87873.0	8630.0	37461.0	0.32	0.01	1.64	0.01	1.33	1873231.0	8.11	122588.0	0.53	0.0	2.93	0.13	0	677991	30082
4194S	4447410.0	200.0	2896061.0	65.12	199.01	1536714.0	1476124.0	1521208.0	10239.0	1387.0	3880.0	0.31	0.01	1.59	0.01	1.3	417517.0	9.39	13090.0	0.29	0.0	25.06	0.14	0	1114516	6226
4202L	16932988.0	200.0	14672767.0	86.65	199.12	8974806.0	8849043.0	8874513.0	59558.0	5655.0	35080.0	0.31	0.01	1.55	0.01	1.3	1440095.0	8.5	88035.0	0.52	0.0	4.23	0.09	0	716839	15252
4202S	12065231.0	200.0	9295544.0	77.04	199.04	4549591.0	4363786.0	4502891.0	31887.0	3565.0	11248.0	0.31	0.01	1.54	0.01	1.29	1670562.0	13.85	34774.0	0.29	0.0	8.58	0.24	0	1035389	28962
4220L	27161744.0	200.0	24025074.0	88.45	199.09	15501118.0	15237824.0	15334017.0	108687.0	10770.0	47644.0	0.31	0.01	1.69	0.01	1.33	2124739.0	7.82	136038.0	0.5	0.0	3.12	0.1	0	848691	27202
4220S	10866616.0	200.0	9000217.0	82.82	199.01	5455768.0	5237329.0	5401400.0	38815.0	4704.0	10849.0	0.33	0.01	1.6	0.01	1.31	945503.0	8.7	41297.0	0.38	0.0	7.97	0.12	0	866552	13047
4301L	21045851.0	200.0	18694319.0	88.83	199.15	12129729.0	11935447.0	12003805.0	90903.0	8265.0	26756.0	0.3	0.01	1.71	0.01	1.33	1601453.0	7.61	100446.0	0.48	0.0	2.97	0.12	0	624405	25228
4301S	22799140.0	200.0	19205968.0	84.24	199.1	11688122.0	11417975.0	11567773.0	86310.0	10149.0	23890.0	0.3	0.01	1.64	0.01	1.3	2609710.0	11.45	69315.0	0.3	0.0	3.84	0.17	0	875393	38754
4306L	25330261.0	200.0	22735781.0	89.76	199.18	15206201.0	14993752.0	15038171.0	107906.0	10533.0	49591.0	0.31	0.01	1.6	0.01	1.31	1972830.0	7.79	130785.0	0.52	0.0	1.86	0.08	0	470623	20242
4306S	18762753.0	200.0	14995625.0	79.92	199.07	9272179.0	9086466.0	9177346.0	67663.0	8572.0	18598.0	0.29	0.01	1.65	0.01	1.31	2317585.0	12.35	54516.0	0.29	0.0	7.37	0.07	0	1381902	13125
4397L	26107705.0	200.0	23792837.0	91.13	199.13	15147732.0	14931427.0	15000836.0	95673.0	9651.0	41572.0	0.32	0.01	1.67	0.01	1.3	1683162.0	6.45	126758.0	0.49	0.0	1.85	0.08	0	484018	20930
4397S	15360349.0	200.0	12348529.0	80.39	199.05	7446575.0	7280594.0	7373817.0	52669.0	6342.0	13747.0	0.3	0.01	1.58	0.01	1.32	1533083.0	9.98	40869.0	0.27	0.0	9.31	0.05	0	1430187	7681
