Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MAP3Kneg_DSS_D1_REP1_read1	47.64581011955649	50.0	75.46237024525102	10.0	17520457.0
MAP3Kneg_DSS_D1_REP1_read2	43.087179541850574	51.0	75.43711599531908	10.0	17520457.0
MAP3Kneg_DSS_D1_REP2_read1	47.01454410269705	50.0	75.45655051130055	10.0	14695662.0
MAP3Kneg_DSS_D1_REP2_read2	42.32549941001611	50.0	75.42779930567265	10.0	14695662.0
MAP3Kneg_DSS_D1_REP3_read1	48.85068668315409	50.0	75.42430639244851	10.0	16662160.0
MAP3Kneg_DSS_D1_REP3_read2	43.83786833802059	51.0	75.39706478631823	10.0	16662160.0
WT_DSS_D1_REP1_read1	53.25136984201233	51.0	75.4413254438104	20.0	18189017.0
WT_DSS_D1_REP1_read2	49.295453753475606	52.0	75.41900076293292	10.0	18189017.0
WT_DSS_D1_REP2_read1	52.758719568039155	51.0	75.48385312025219	20.0	19762425.0
WT_DSS_D1_REP2_read2	49.60621038938139	52.0	75.47298532442248	10.0	19762425.0
WT_DSS_D1_REP3_read1	41.33893766541594	49.0	75.45715597124705	10.0	13523063.0
WT_DSS_D1_REP3_read2	37.55341460965115	49.0	75.4378960594948	10.0	13523063.0
