Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
MAP3Kneg_DSS_D1_REP1_read2	0.773766762039993					
MAP3Kneg_DSS_D1_REP1_trimmed_read1		45.907446829608745	50.0	74.97414359474753	10.0	17444691.0
MAP3Kneg_DSS_D1_REP1_trimmed_read2		41.579455570582525	51.0	74.83258442353608	10.0	17444691.0
MAP3Kneg_DSS_D1_REP2_read2	0.7400589892578965					
MAP3Kneg_DSS_D1_REP2_trimmed_read1		45.28905372284303	50.0	74.97433318531438	10.0	14635513.0
MAP3Kneg_DSS_D1_REP2_trimmed_read2		40.760148642846026	50.0	74.82795252889325	10.0	14635513.0
MAP3Kneg_DSS_D1_REP3_read2	0.9274351350743509					
MAP3Kneg_DSS_D1_REP3_trimmed_read1		47.088128188132764	50.0	74.94715393559183	10.0	16564980.0
MAP3Kneg_DSS_D1_REP3_trimmed_read2		42.20859904956921	51.0	74.77258916098903	10.0	16564980.0
WT_DSS_D1_REP1_read2	0.6168146354760964					
WT_DSS_D1_REP1_trimmed_read1		51.746448651691644	51.0	74.9735461843472	20.0	18134813.0
WT_DSS_D1_REP1_trimmed_read2		47.8939697884886	52.0	74.84156599795101	10.0	18134813.0
WT_DSS_D1_REP2_read2	0.5497115051680225					
WT_DSS_D1_REP2_trimmed_read1		51.382512258842105	51.0	75.02880832916094	20.0	19712910.0
WT_DSS_D1_REP2_trimmed_read2		48.29959088621414	52.0	74.91197301666776	10.0	19712910.0
WT_DSS_D1_REP3_read2	0.9645710107708273					
WT_DSS_D1_REP3_trimmed_read1		39.34953113539649	49.0	74.93953770070583	10.0	13443369.0
WT_DSS_D1_REP3_trimmed_read2		35.9327999303659	49.0	74.78137898319982	10.0	13443369.0
