Sample	chr6	chrUn_GL456382	chr19	chrY	chrY_JH584300_random	chr1_GL456211_random	chr5	chrUn_GL456378	chrUn_GL456390	chr4_JH584293_random	chr4_GL456216_random	chr4_JH584292_random	chr16	chrY_JH584303_random	chr1_GL456221_random	chrUn_GL456385	chrUn_GL456360	chrUn_GL456393	chrUn_GL456383	chr4_GL456350_random	chr5_JH584296_random	chr18	chr5_JH584298_random	chrUn_GL456379	chr14	chrX	chr3	chrUn_GL456389	chrUn_GL456239	chrY_JH584302_random	chr5_JH584297_random	chr11	chr9	chrUn_GL456396	chr4	chrX_GL456233_random	chrY_JH584301_random	chr8	chrUn_GL456381	chr7_GL456219_random	chrUn_GL456366	chr1_GL456210_random	chrUn_GL456370	chrUn_GL456359	chr1	chrUn_GL456394	chrUn_GL456387	chr15	chr7	chrUn_JH584304	chr13	chr2	chrUn_GL456372	chr5_GL456354_random	chr1_GL456213_random	chr4_JH584294_random	chr4_JH584295_random	chr12	chrM	chrUn_GL456368	chr1_GL456212_random	chrUn_GL456392	chr5_JH584299_random	chr17	chrUn_GL456367	chr10	*
4194L_trimmed_samtools_idxstats	[2694298, 149736546]	[250, 23158]	[1538054, 61431566]	[50404, 91744698]	[0, 182347]	[1916, 241735]	[3004114, 151834684]	[144, 31602]	[260, 24668]	[966, 207968]	[2322, 66673]	[12, 14945]	[977170, 98207768]	[2, 158099]	[1212, 206961]	[30, 35240]	[64, 31704]	[116, 55711]	[662, 38659]	[1118, 227966]	[2906, 199368]	[1036016, 90702639]	[1526, 184189]	[258, 72385]	[2155282, 124902244]	[1287552, 171031299]	[1833418, 160039680]	[174, 28772]	[82, 40056]	[0, 155838]	[2734, 205776]	[3359034, 122082543]	[2496452, 124595110]	[164, 21240]	[2531982, 156508116]	[1540, 336933]	[2, 259875]	[2106544, 129401213]	[0, 25871]	[292, 175968]	[40, 47073]	[828, 169725]	[1064, 26764]	[60, 22974]	[4268800, 195471971]	[12, 24323]	[0, 24685]	[2064358, 104043685]	[3344400, 145441459]	[31310, 114452]	[1271116, 120421639]	[2977648, 182113224]	[184, 28664]	[1032, 195993]	[64, 39340]	[560, 191905]	[2386, 1976]	[1503946, 120129022]	[3914938, 16299]	[36, 20208]	[1000, 153618]	[524, 23629]	[5998, 953012]	[3403080, 94987271]	[1014, 42057]	[2217840, 130694993]	[0, 0]
4194S_trimmed_samtools_idxstats	[316838, 149736546]	[48, 23158]	[206806, 61431566]	[8178, 91744698]	[0, 182347]	[450, 241735]	[372514, 151834684]	[30, 31602]	[58, 24668]	[180, 207968]	[418, 66673]	[0, 14945]	[123616, 98207768]	[0, 158099]	[376, 206961]	[6, 35240]	[4, 31704]	[16, 55711]	[240, 38659]	[214, 227966]	[320, 199368]	[136618, 90702639]	[364, 184189]	[30, 72385]	[196826, 124902244]	[193100, 171031299]	[236776, 160039680]	[52, 28772]	[24, 40056]	[2, 155838]	[370, 205776]	[474240, 122082543]	[311084, 124595110]	[48, 21240]	[388338, 156508116]	[310, 336933]	[0, 259875]	[282606, 129401213]	[0, 25871]	[82, 175968]	[6, 47073]	[220, 169725]	[74, 26764]	[4, 22974]	[915780, 195471971]	[0, 24323]	[0, 24685]	[248034, 104043685]	[508174, 145441459]	[6512, 114452]	[166858, 120421639]	[417888, 182113224]	[48, 28664]	[200, 195993]	[4, 39340]	[72, 191905]	[316, 1976]	[283036, 120129022]	[1249260, 16299]	[2, 20208]	[288, 153618]	[130, 23629]	[1180, 953012]	[340744, 94987271]	[364, 42057]	[299314, 130694993]	[0, 0]
4202L_trimmed_samtools_idxstats	[2059958, 149736546]	[110, 23158]	[1105482, 61431566]	[27892, 91744698]	[0, 182347]	[888, 241735]	[2209550, 151834684]	[94, 31602]	[154, 24668]	[472, 207968]	[1482, 66673]	[6, 14945]	[702448, 98207768]	[2, 158099]	[674, 206961]	[8, 35240]	[60, 31704]	[60, 55711]	[310, 38659]	[492, 227966]	[4716, 199368]	[915690, 90702639]	[960, 184189]	[108, 72385]	[1841222, 124902244]	[765746, 171031299]	[1332402, 160039680]	[90, 28772]	[60, 40056]	[0, 155838]	[3388, 205776]	[2108508, 122082543]	[1587794, 124595110]	[84, 21240]	[1701136, 156508116]	[1134, 336933]	[0, 259875]	[1497330, 129401213]	[0, 25871]	[204, 175968]	[26, 47073]	[416, 169725]	[660, 26764]	[44, 22974]	[3313186, 195471971]	[8, 24323]	[0, 24685]	[1384448, 104043685]	[2504660, 145441459]	[17722, 114452]	[839726, 120421639]	[2196480, 182113224]	[38, 28664]	[610, 195993]	[48, 39340]	[326, 191905]	[1132, 1976]	[975190, 120129022]	[3619320, 16299]	[34, 20208]	[494, 153618]	[274, 23629]	[3694, 953012]	[2077648, 94987271]	[672, 42057]	[1458082, 130694993]	[0, 0]
4202S_trimmed_samtools_idxstats	[953170, 149736546]	[84, 23158]	[621884, 61431566]	[19222, 91744698]	[0, 182347]	[1218, 241735]	[1106810, 151834684]	[120, 31602]	[278, 24668]	[500, 207968]	[1272, 66673]	[6, 14945]	[402768, 98207768]	[2, 158099]	[1012, 206961]	[26, 35240]	[48, 31704]	[102, 55711]	[740, 38659]	[552, 227966]	[1446, 199368]	[440626, 90702639]	[1370, 184189]	[76, 72385]	[647704, 124902244]	[667424, 171031299]	[752460, 160039680]	[258, 28772]	[130, 40056]	[0, 155838]	[1384, 205776]	[1379316, 122082543]	[976786, 124595110]	[252, 21240]	[1198120, 156508116]	[1060, 336933]	[0, 259875]	[865808, 129401213]	[0, 25871]	[270, 175968]	[58, 47073]	[620, 169725]	[854, 26764]	[40, 22974]	[3732162, 195471971]	[2, 24323]	[0, 24685]	[728550, 104043685]	[1515150, 145441459]	[32578, 114452]	[515684, 120421639]	[1312274, 182113224]	[124, 28664]	[1034, 195993]	[58, 39340]	[304, 191905]	[642, 1976]	[907622, 120129022]	[5218166, 16299]	[14, 20208]	[650, 153618]	[728, 23629]	[4928, 953012]	[953588, 94987271]	[1120, 42057]	[945646, 130694993]	[0, 0]
4220L_trimmed_samtools_idxstats	[3155524, 149736546]	[248, 23158]	[1752590, 61431566]	[140358, 91744698]	[112, 182347]	[1694, 241735]	[3383874, 151834684]	[122, 31602]	[92, 24668]	[456, 207968]	[2802, 66673]	[6, 14945]	[1117944, 98207768]	[46, 158099]	[810, 206961]	[18, 35240]	[48, 31704]	[54, 55711]	[430, 38659]	[510, 227966]	[2470, 199368]	[1209308, 90702639]	[748, 184189]	[224, 72385]	[2570150, 124902244]	[1261262, 171031299]	[2046150, 160039680]	[116, 28772]	[74, 40056]	[148, 155838]	[1982, 205776]	[4060944, 122082543]	[2981048, 124595110]	[116, 21240]	[3007028, 156508116]	[1182, 336933]	[276, 259875]	[2548056, 129401213]	[0, 25871]	[152, 175968]	[16, 47073]	[510, 169725]	[650, 26764]	[14, 22974]	[4732690, 195471971]	[6, 24323]	[0, 24685]	[2601416, 104043685]	[4096836, 145441459]	[25886, 114452]	[1387650, 120421639]	[3491942, 182113224]	[144, 28664]	[506, 195993]	[46, 39340]	[282, 191905]	[3742, 1976]	[1619080, 120129022]	[4430804, 16299]	[14, 20208]	[720, 153618]	[246, 23629]	[2894, 953012]	[4111806, 94987271]	[342, 42057]	[2779156, 130694993]	[0, 0]
4220S_trimmed_samtools_idxstats	[1056826, 149736546]	[104, 23158]	[653576, 61431566]	[71356, 91744698]	[46, 182347]	[1408, 241735]	[1202186, 151834684]	[48, 31602]	[64, 24668]	[174, 207968]	[992, 66673]	[0, 14945]	[413148, 98207768]	[22, 158099]	[684, 206961]	[24, 35240]	[20, 31704]	[38, 55711]	[180, 38659]	[148, 227966]	[422, 199368]	[362642, 90702639]	[232, 184189]	[64, 72385]	[577354, 124902244]	[506570, 171031299]	[809298, 160039680]	[70, 28772]	[6, 40056]	[110, 155838]	[380, 205776]	[1589636, 122082543]	[1225002, 124595110]	[58, 21240]	[1114004, 156508116]	[324, 336933]	[94, 259875]	[896110, 129401213]	[0, 25871]	[50, 175968]	[8, 47073]	[786, 169725]	[208, 26764]	[4, 22974]	[2157378, 195471971]	[0, 24323]	[0, 24685]	[830280, 104043685]	[1556100, 145441459]	[11638, 114452]	[545246, 120421639]	[1309272, 182113224]	[192, 28664]	[144, 195993]	[48, 39340]	[90, 191905]	[946, 1976]	[937742, 120129022]	[2459058, 16299]	[4, 20208]	[524, 153618]	[206, 23629]	[982, 953012]	[1095742, 94987271]	[176, 42057]	[1025860, 130694993]	[0, 0]
4301L_trimmed_samtools_idxstats	[1937402, 149736546]	[282, 23158]	[1496564, 61431566]	[81066, 91744698]	[0, 182347]	[2278, 241735]	[2642230, 151834684]	[92, 31602]	[150, 24668]	[444, 207968]	[2086, 66673]	[6, 14945]	[804040, 98207768]	[2, 158099]	[1324, 206961]	[20, 35240]	[52, 31704]	[78, 55711]	[452, 38659]	[510, 227966]	[2000, 199368]	[1097796, 90702639]	[734, 184189]	[142, 72385]	[1515368, 124902244]	[1170770, 171031299]	[1590062, 160039680]	[112, 28772]	[40, 40056]	[0, 155838]	[1630, 205776]	[3466802, 122082543]	[2608944, 124595110]	[112, 21240]	[2415176, 156508116]	[952, 336933]	[0, 259875]	[1800412, 129401213]	[0, 25871]	[138, 175968]	[10, 47073]	[990, 169725]	[536, 26764]	[32, 22974]	[3604840, 195471971]	[2, 24323]	[4, 24685]	[1872018, 104043685]	[3272864, 145441459]	[27680, 114452]	[1157534, 120421639]	[2832822, 182113224]	[226, 28664]	[530, 195993]	[52, 39340]	[296, 191905]	[3000, 1976]	[1228220, 120129022]	[3169566, 16299]	[10, 20208]	[1070, 153618]	[338, 23629]	[3160, 953012]	[3071540, 94987271]	[488, 42057]	[2433662, 130694993]	[0, 0]
4301S_trimmed_samtools_idxstats	[1919584, 149736546]	[300, 23158]	[1392698, 61431566]	[69056, 91744698]	[0, 182347]	[1986, 241735]	[2461908, 151834684]	[98, 31602]	[416, 24668]	[566, 207968]	[2298, 66673]	[6, 14945]	[843324, 98207768]	[6, 158099]	[1026, 206961]	[20, 35240]	[82, 31704]	[170, 55711]	[1032, 38659]	[654, 227966]	[1602, 199368]	[820616, 90702639]	[1358, 184189]	[148, 72385]	[1369122, 124902244]	[1322988, 171031299]	[1650446, 160039680]	[272, 28772]	[172, 40056]	[0, 155838]	[1454, 205776]	[3302490, 122082543]	[2462922, 124595110]	[274, 21240]	[2501286, 156508116]	[1368, 336933]	[0, 259875]	[1856788, 129401213]	[0, 25871]	[268, 175968]	[44, 47073]	[786, 169725]	[634, 26764]	[36, 22974]	[5797808, 195471971]	[0, 24323]	[6, 24685]	[1825662, 104043685]	[3252068, 145441459]	[40236, 114452]	[1177588, 120421639]	[2838534, 182113224]	[190, 28664]	[1074, 195993]	[132, 39340]	[320, 191905]	[1956, 1976]	[1461514, 120129022]	[7483640, 16299]	[26, 20208]	[968, 153618]	[706, 23629]	[5104, 953012]	[2247502, 94987271]	[1062, 42057]	[2075790, 130694993]	[0, 0]
4306L_trimmed_samtools_idxstats	[3101146, 149736546]	[240, 23158]	[1800970, 61431566]	[151540, 91744698]	[56, 182347]	[1134, 241735]	[3354386, 151834684]	[90, 31602]	[38, 24668]	[420, 207968]	[2094, 66673]	[0, 14945]	[1087100, 98207768]	[54, 158099]	[652, 206961]	[6, 35240]	[20, 31704]	[40, 55711]	[124, 38659]	[348, 227966]	[2260, 199368]	[1361262, 90702639]	[462, 184189]	[140, 72385]	[2388228, 124902244]	[1171496, 171031299]	[2083058, 160039680]	[52, 28772]	[28, 40056]	[102, 155838]	[1558, 205776]	[3605468, 122082543]	[2699922, 124595110]	[52, 21240]	[2615028, 156508116]	[1314, 336933]	[270, 259875]	[2586812, 129401213]	[0, 25871]	[92, 175968]	[26, 47073]	[432, 169725]	[390, 26764]	[12, 22974]	[4469996, 195471971]	[0, 24323]	[0, 24685]	[2252242, 104043685]	[3662688, 145441459]	[21842, 114452]	[1291136, 120421639]	[3450468, 182113224]	[104, 28664]	[308, 195993]	[76, 39340]	[304, 191905]	[3046, 1976]	[1797374, 120129022]	[4192574, 16299]	[8, 20208]	[532, 153618]	[182, 23629]	[1938, 953012]	[3533066, 94987271]	[206, 42057]	[2382470, 130694993]	[0, 0]
4306S_trimmed_samtools_idxstats	[1407772, 149736546]	[154, 23158]	[1123078, 61431566]	[87362, 91744698]	[32, 182347]	[1400, 241735]	[1948002, 151834684]	[56, 31602]	[70, 24668]	[192, 207968]	[2240, 66673]	[0, 14945]	[617580, 98207768]	[52, 158099]	[626, 206961]	[16, 35240]	[8, 31704]	[98, 55711]	[336, 38659]	[190, 227966]	[622, 199368]	[632622, 90702639]	[208, 184189]	[84, 72385]	[1034068, 124902244]	[858644, 171031299]	[1161864, 160039680]	[110, 28772]	[14, 40056]	[98, 155838]	[494, 205776]	[2646270, 122082543]	[1844094, 124595110]	[84, 21240]	[2020146, 156508116]	[516, 336933]	[138, 259875]	[1475616, 129401213]	[0, 25871]	[62, 175968]	[14, 47073]	[538, 169725]	[238, 26764]	[24, 22974]	[4972628, 195471971]	[0, 24323]	[0, 24685]	[1478344, 104043685]	[2646710, 145441459]	[24722, 114452]	[886478, 120421639]	[2185440, 182113224]	[198, 28664]	[164, 195993]	[56, 39340]	[100, 191905]	[2918, 1976]	[1021724, 120129022]	[6862430, 16299]	[8, 20208]	[714, 153618]	[368, 23629]	[1032, 953012]	[1803940, 94987271]	[174, 42057]	[1609146, 130694993]	[0, 0]
